timestamp_s,range_m,range_cm
11.173573,0.330000,33.0000
11.221614,0.330000,33.0000
11.286167,0.330000,33.0000
11.333683,0.330000,33.0000
11.381605,0.330000,33.0000
11.446987,0.330000,33.0000
11.494336,0.330000,33.0000
11.542942,0.330000,33.0000
11.606718,0.330000,33.0000
11.654983,0.330000,33.0000
11.702941,0.330000,33.0000
11.766734,0.330000,33.0000
11.815056,0.330000,33.0000
11.862912,0.330000,33.0000
11.926346,0.330000,33.0000
11.974966,0.330000,33.0000
12.022976,0.330000,33.0000
12.086755,0.330000,33.0000
12.134273,0.330000,33.0000
12.181732,0.330000,33.0000
12.229642,0.330000,33.0000
12.293924,0.330000,33.0000
12.341655,0.330000,33.0000
12.389723,0.330000,33.0000
12.455079,0.330000,33.0000
12.502790,0.330000,33.0000
12.550520,0.330000,33.0000
12.599113,0.330000,33.0000
12.662176,0.330000,33.0000
12.710824,0.330000,33.0000
12.758885,0.330000,33.0000
12.806790,0.330000,33.0000
12.871126,0.330000,33.0000
12.919124,0.330000,33.0000
12.967218,0.330000,33.0000
13.030142,0.330000,33.0000
13.078605,0.330000,33.0000
13.142329,0.330000,33.0000
13.189761,0.330000,33.0000
13.237913,0.330000,33.0000
13.286373,0.330000,33.0000
13.333817,0.330000,33.0000
13.397966,0.330000,33.0000
13.447240,0.330000,33.0000
13.495176,0.330000,33.0000
13.559163,0.330000,33.0000
13.607202,0.330000,33.0000
13.655263,0.330000,33.0000
13.718804,0.330000,33.0000
13.766951,0.330000,33.0000
13.831323,0.330000,33.0000
13.878743,0.330000,33.0000
13.927231,0.330000,33.0000
13.974536,0.330000,33.0000
14.039285,0.330000,33.0000
14.086609,0.330000,33.0000
14.134241,0.330000,33.0000
14.181913,0.330000,33.0000
14.246330,0.330000,33.0000
14.294236,0.330000,33.0000
14.342049,0.330000,33.0000
14.390031,0.330000,33.0000
14.455450,0.330000,33.0000
14.503589,0.330000,33.0000
14.551308,0.330000,33.0000
14.615329,0.330000,33.0000
14.662737,0.330000,33.0000
14.727084,0.330000,33.0000
14.775316,0.330000,33.0000
14.823118,0.330000,33.0000
14.871364,0.330000,33.0000
14.935491,0.330000,33.0000
14.983133,0.330000,33.0000
15.031098,0.330000,33.0000
15.094657,0.330000,33.0000
15.142602,0.330000,33.0000
15.190015,0.330000,33.0000
15.237986,0.330000,33.0000
15.302611,0.330000,33.0000
15.350078,0.330000,33.0000
15.398120,0.330000,33.0000
15.446405,0.330000,33.0000
15.510769,0.330000,33.0000
15.558795,0.330000,33.0000
15.607447,0.330000,33.0000
15.654603,0.330000,33.0000
15.719419,0.330000,33.0000
15.767429,0.330000,33.0000
15.830714,0.330000,33.0000
15.879191,0.330000,33.0000
15.926755,0.330000,33.0000
15.974232,0.330000,33.0000
16.038642,0.330000,33.0000
16.086888,0.320000,32.0000
16.134356,0.320000,32.0000
16.182091,0.280000,28.0000
16.246276,0.280000,28.0000
16.294711,0.280000,28.0000
16.342048,0.280000,28.0000
16.406713,0.280000,28.0000
16.455492,0.280000,28.0000
16.502399,0.280000,28.0000
16.567583,0.320000,32.0000
16.615489,0.360000,36.0000
16.663518,0.950000,95.0000
16.726518,1.380000,138.0000
16.775503,2.340000,234.0000
16.823516,2.340000,234.0000
16.870829,2.340000,234.0000
16.935585,2.340000,234.0000
16.982566,2.350000,235.0000
17.047565,2.370000,237.0000
17.095309,2.360000,236.0000
17.142710,2.350000,235.0000
17.190237,2.330000,233.0000
17.255531,2.290000,229.0000
17.302760,2.280000,228.0000
17.350242,2.270000,227.0000
17.415507,2.270000,227.0000
17.463510,2.270000,227.0000
17.510877,2.280000,228.0000
17.575472,2.430000,243.0000
17.623557,2.490000,249.0000
17.671577,2.690000,269.0000
17.735582,2.770000,277.0000
17.783572,2.780000,278.0000
17.831410,2.800000,280.0000
17.895686,2.830000,283.0000
17.943628,2.910000,291.0000
18.007717,2.970000,297.0000
18.055662,2.970000,297.0000
18.103617,2.970000,297.0000
18.166331,2.970000,297.0000
18.214273,2.970000,297.0000
